%    ___                              _ _    _     
%   / __|___ _ __  _ __ _ _ ___ _____(_) |__| |___ 
%  | (__/ _ \ '  \| '_ \ '_/ -_|_-<_-< | '_ \ / -_)
%   \___\___/_|_|_| .__/_| \___/__/__/_|_.__/_\___|
%                 |_|                              
%   _            _         _         _        _                       _ 
%  | |_ _  _ _ _| |__ _  _| |___ _ _| |_   __| |_  __ _ _ _  _ _  ___| |
%  |  _| || | '_| '_ \ || | / -_) ' \  _| / _| ' \/ _` | ' \| ' \/ -_) |
%   \__|\_,_|_| |_.__/\_,_|_\___|_||_\__| \__|_||_\__,_|_||_|_||_\___|_|
%                                                                       
%      _      _        
%   __| |__ _| |_ __ _ 
%  / _` / _` |  _/ _` |
%  \__,_\__,_|\__\__,_|
%
%  Compressible turbulent channel data
%    by
%    Andrew Trettel and Johan Larsson
%    University of Maryland, College Park
%
%  Point of contact:
%    Andrew Trettel
%    andrew.trettel@gmail.com
%    University of California, Los Angeles
%    Department of Mechanical and Aerospace Engineering
%
%  Literature source:
%  "Mean velocity scaling for compressible wall turbulence with heat transfer"
%  Trettel, Andrew and Larsson, Johan, Physics of Fluids, 28, 026102 (2016),
%  DOI:http://dx.doi.org/10.1063/1.4942022
%
%  Notation used:
%     X'   - Fluctuation from Reynolds decomposition
%     X''  - Fluctuation from Favre decomposition
%    <X>   - Reynolds-averaged quantity
%    <X>_f - Favre-averaged quantity
%
%
%  Processed on 2016-11-23.
%
%     paper = M3.0R600
%  casename = c3d_r24000 
%   Ma_bulk = +3.00000150e+00 
%   Re_bulk = +2.39998080e+04 
%        Pr = +7.00000000e-01 
%     gamma = +1.40000000e+00 
%         R = +7.93650000e-02 
%     omega = +7.50000000e-01 
%
%       n_x = 1728 
%       n_y = 416 
%       n_z = 896 
%
%       T_w = +1.00000000e+00 
%     rho_w = +2.42131967e+00 
%      mu_w = +4.16670000e-05 
%     tau_w = +2.52380343e-03 
%       u_e = +1.14125977e+00 
%       T_e = +2.49121777e+00 
%     rho_e = +9.75933059e-01 
%      mu_e = +8.26230080e-05 
%
%     u_tau = +3.22850675e-02 
%      l_nu = +5.33013740e-04 
%     T_tau = -1.16216286e-01 
%
%       B_q = -1.16216286e-01 
%       q_w = -2.52358471e-03 
%
%    Re_tau = +1.87612424e+03 
%   Re_tau* = +6.00671153e+02 
%    Ma_tau = +9.68552509e-02 
%
%
%  Descriptions of columns
%  ( 1)               y: Wall-normal coordinate
%  ( 2)              y+: Wall-normal coordinate, scaled by viscous units
%  ( 3)            Y+tl: Wall-normal coordinate, transformed by the Trettel-Larsson transformation (semi-local scaling)
%  ( 4)             <u>: Reynolds-averaged streamwise velocity
%  ( 5)           <u>_f: Favre-averaged streamwise velocity
%  ( 6)              u+: Reynolds-averaged streamwise velocity, scaled by viscous units
%  ( 7)            U+vd: Reynolds-averaged streamwise velocity, transformed by the Van Driest transformation
%  ( 8)            U+vs: Reynolds-averaged streamwise velocity, transformed by the viscous sublayer transformation
%  ( 9)            U+tl: Reynolds-averaged streamwise velocity, transformed by the Trettel-Larsson transformation
%  (10)           <rho>: Reynolds-averaged density
%  (11)             <P>: Reynolds-averaged pressure
%  (12)             <T>: Reynolds-averaged temperature
%  (13)           <T>_f: Favre-averaged temperature
%  (14)              mu: Viscosity function evaluated at the Reynolds-averaged temperature
%  (15)      <u''u''>_f: Favre-averaged streamwise velocity fluctuations squared
%  (16)      <v''v''>_f: Favre-averaged wall-normal velocity fluctuations squared
%  (17)      <w''w''>_f: Favre-averaged spanwise velocity fluctuations squared
%  (18)      <u''v''>_f: Favre-averaged Reynolds shear stress
%  (19)      <rho'rho'>: Reynolds-averaged density fluctuations squared
%  (20)          <P'P'>: Reynolds-averaged pressure fluctuations squared
%  (21)      <T''T''>_f: Favre-averaged temperature fluctuations squared
%  (22)      <T''v''>_f: 
%
%
%                y,               y+,             Y+tl,              <u>,            <u>_f,               u+,             U+vd,             U+vs,             U+tl,            <rho>,              <P>,              <T>,            <T>_f,               mu,       <u''u''>_f,       <v''v''>_f,       <w''w''>_f,       <u''v''>_f,       <rho'rho'>,           <P'P'>,       <T''T''>_f,       <T''v''>_f,
   +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +2.42131967e+00,  +1.92168035e-01,  +1.00000000e+00,  +1.00000000e+00,  +4.16670000e-05,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,
   +4.52352800e-04,  +8.48670054e-01,  +7.86335724e-01,  +2.66267260e-02,  +2.64045615e-02,  +8.24738124e-01,  +8.13518200e-01,  +8.45318056e-01,  +7.83229928e-01,  +2.29135144e+00,  +1.93946187e-01,  +1.06708959e+00,  +1.06649923e+00,  +4.37464577e-05,  +1.19981237e-04,  +5.31731246e-08,  +2.23918855e-05,  -4.09819125e-07,  +8.24885072e-03,  +4.31757145e-05,  +7.66202782e-04,  -9.11716214e-07,
   +1.36850100e-03,  +2.56747790e+00,  +2.08816823e+00,  +7.66626632e-02,  +7.50776676e-02,  +2.37455484e+00,  +2.28343975e+00,  +2.53936675e+00,  +2.06630974e+00,  +2.06773771e+00,  +1.93943406e-01,  +1.18563371e+00,  +1.18181822e+00,  +4.73429290e-05,  +8.91357320e-04,  +5.56756907e-07,  +1.41162556e-04,  -6.09123469e-06,  +1.71578742e-02,  +4.29298573e-05,  +4.86530356e-03,  -1.25303434e-05,
   +2.30010890e-03,  +4.31529007e+00,  +3.16183263e+00,  +1.23378355e-01,  +1.19988257e-01,  +3.82153003e+00,  +3.59378577e+00,  +4.23729654e+00,  +3.10933187e+00,  +1.90521812e+00,  +1.93938581e-01,  +1.29029765e+00,  +1.28259851e+00,  +5.04440139e-05,  +2.12863130e-03,  +2.11423341e-06,  +3.07828953e-04,  -2.26509480e-05,  +2.40813979e-02,  +4.27360335e-05,  +1.03984889e-02,  -4.42931993e-05,
   +3.24742230e-03,  +6.09256770e+00,  +4.09500741e+00,  +1.67282401e-01,  +1.62034652e-01,  +5.18141712e+00,  +4.77999045e+00,  +5.92795169e+00,  +3.99702478e+00,  +1.78048289e+00,  +1.93929719e-01,  +1.38373012e+00,  +1.37239106e+00,  +5.31594823e-05,  +3.65740373e-03,  +5.59430576e-06,  +4.92522550e-04,  -5.38356963e-05,  +2.80317099e-02,  +4.24720824e-05,  +1.62048810e-02,  -1.01334059e-04,
   +4.21069090e-03,  +7.89977928e+00,  +4.93675561e+00,  +2.08623530e-01,  +2.01636306e-01,  +6.46192022e+00,  +5.86253754e+00,  +7.59853320e+00,  +4.77513455e+00,  +1.68132963e+00,  +1.93917999e-01,  +1.46768094e+00,  +1.45323768e+00,  +5.55604725e-05,  +5.35147269e-03,  +1.18268899e-05,  +6.83047299e-04,  -1.00827994e-04,  +2.98354814e-02,  +4.23141319e-05,  +2.17193905e-02,  -1.84159121e-04,
   +5.19016750e-03,  +9.73739907e+00,  +5.71746109e+00,  +2.47527631e-01,  +2.38993440e-01,  +7.66693862e+00,  +6.85447228e+00,  +9.23623178e+00,  +5.47090430e+00,  +1.60058072e+00,  +1.93901274e-01,  +1.54336994e+00,  +1.52642175e+00,  +5.76958678e-05,  +7.11237746e-03,  +2.14051213e-05,  +8.74301570e-04,  -1.62808027e-04,  +3.02593852e-02,  +4.21321728e-05,  +2.66556917e-02,  -2.90075076e-04,
   +6.18610850e-03,  +1.16059081e+01,  +6.45728846e+00,  +2.84072681e-01,  +2.74217249e-01,  +8.79888764e+00,  +7.76507248e+00,  +1.08295213e+01,  +6.10175976e+00,  +1.53366734e+00,  +1.93881278e-01,  +1.61172653e+00,  +1.59285494e+00,  +5.96019809e-05,  +8.86444380e-03,  +3.48306893e-05,  +1.06436978e-03,  -2.37949251e-04,  +2.98294292e-02,  +4.20623008e-05,  +3.08844987e-02,  -4.14991357e-04,
   +7.19877380e-03,  +1.35057940e+01,  +7.17017027e+00,  +3.18326058e-01,  +3.07378123e-01,  +9.85985418e+00,  +8.60164972e+00,  +1.23688810e+01,  +6.67936370e+00,  +1.47745692e+00,  +1.93855838e-01,  +1.67351426e+00,  +1.65323896e+00,  +6.13075887e-05,  +1.05505459e-02,  +5.23735481e-05,  +1.25244773e-03,  -3.23645798e-04,  +2.88920364e-02,  +4.19885320e-05,  +3.43675713e-02,  -5.53829457e-04,
   +8.22842670e-03,  +1.54375508e+01,  +7.86612270e+00,  +3.50360002e-01,  +3.38541648e-01,  +1.08520759e+01,  +9.37040848e+00,  +1.38470108e+01,  +7.21188829e+00,  +1.42973773e+00,  +1.93827107e-01,  +1.72939088e+00,  +1.70816475e+00,  +6.28365079e-05,  +1.21305633e-02,  +7.42942829e-05,  +1.43819072e-03,  -4.17244391e-04,  +2.76659022e-02,  +4.20213456e-05,  +3.71246147e-02,  -7.01706420e-04,
