%    ___                              _ _    _     
%   / __|___ _ __  _ __ _ _ ___ _____(_) |__| |___ 
%  | (__/ _ \ '  \| '_ \ '_/ -_|_-<_-< | '_ \ / -_)
%   \___\___/_|_|_| .__/_| \___/__/__/_|_.__/_\___|
%                 |_|                              
%   _            _         _         _        _                       _ 
%  | |_ _  _ _ _| |__ _  _| |___ _ _| |_   __| |_  __ _ _ _  _ _  ___| |
%  |  _| || | '_| '_ \ || | / -_) ' \  _| / _| ' \/ _` | ' \| ' \/ -_) |
%   \__|\_,_|_| |_.__/\_,_|_\___|_||_\__| \__|_||_\__,_|_||_|_||_\___|_|
%                                                                       
%      _      _        
%   __| |__ _| |_ __ _ 
%  / _` / _` |  _/ _` |
%  \__,_\__,_|\__\__,_|
%
%  Compressible turbulent channel data
%    by
%    Andrew Trettel and Johan Larsson
%    University of Maryland, College Park
%
%  Point of contact:
%    Andrew Trettel
%    andrew.trettel@gmail.com
%    University of California, Los Angeles
%    Department of Mechanical and Aerospace Engineering
%
%  Literature source:
%  "Mean velocity scaling for compressible wall turbulence with heat transfer"
%  Trettel, Andrew and Larsson, Johan, Physics of Fluids, 28, 026102 (2016),
%  DOI:http://dx.doi.org/10.1063/1.4942022
%
%  Notation used:
%     X'   - Fluctuation from Reynolds decomposition
%     X''  - Fluctuation from Favre decomposition
%    <X>   - Reynolds-averaged quantity
%    <X>_f - Favre-averaged quantity
%
%
%  Processed on 2016-11-23.
%
%     paper = M4.0R200
%  casename = c4e 
%   Ma_bulk = +4.00192138e+00 
%   Re_bulk = +1.00000000e+04 
%        Pr = +7.00000000e-01 
%     gamma = +1.40000000e+00 
%         R = +4.46000000e-02 
%     omega = +7.50000000e-01 
%
%       n_x = 1260 
%       n_y = 384 
%       n_z = 644 
%
%       T_w = +1.00000000e+00 
%     rho_w = +3.44921321e+00 
%      mu_w = +1.00000000e-04 
%     tau_w = +3.00136051e-03 
%       u_e = +1.13728265e+00 
%       T_e = +3.63740111e+00 
%     rho_e = +9.50891957e-01 
%      mu_e = +2.63386430e-04 
%
%     u_tau = +2.94984408e-02 
%      l_nu = +9.82835642e-04 
%     T_tau = -1.88954747e-01 
%
%       B_q = -1.88954747e-01 
%       q_w = -3.00109548e-03 
%
%    Re_tau = +1.01746412e+03 
%   Re_tau* = +2.02829571e+02 
%    Ma_tau = +1.18050441e-01 
%
%
%  Descriptions of columns
%  ( 1)               y: Wall-normal coordinate
%  ( 2)              y+: Wall-normal coordinate, scaled by viscous units
%  ( 3)            Y+tl: Wall-normal coordinate, transformed by the Trettel-Larsson transformation (semi-local scaling)
%  ( 4)             <u>: Reynolds-averaged streamwise velocity
%  ( 5)           <u>_f: Favre-averaged streamwise velocity
%  ( 6)              u+: Reynolds-averaged streamwise velocity, scaled by viscous units
%  ( 7)            U+vd: Reynolds-averaged streamwise velocity, transformed by the Van Driest transformation
%  ( 8)            U+vs: Reynolds-averaged streamwise velocity, transformed by the viscous sublayer transformation
%  ( 9)            U+tl: Reynolds-averaged streamwise velocity, transformed by the Trettel-Larsson transformation
%  (10)           <rho>: Reynolds-averaged density
%  (11)             <P>: Reynolds-averaged pressure
%  (12)             <T>: Reynolds-averaged temperature
%  (13)           <T>_f: Favre-averaged temperature
%  (14)              mu: Viscosity function evaluated at the Reynolds-averaged temperature
%  (15)      <u''u''>_f: Favre-averaged streamwise velocity fluctuations squared
%  (16)      <v''v''>_f: Favre-averaged wall-normal velocity fluctuations squared
%  (17)      <w''w''>_f: Favre-averaged spanwise velocity fluctuations squared
%  (18)      <u''v''>_f: Favre-averaged Reynolds shear stress
%  (19)      <rho'rho'>: Reynolds-averaged density fluctuations squared
%  (20)          <P'P'>: Reynolds-averaged pressure fluctuations squared
%  (21)      <T''T''>_f: Favre-averaged temperature fluctuations squared
%  (22)      <T''v''>_f: 
%
%
%                y,               y+,             Y+tl,              <u>,            <u>_f,               u+,             U+vd,             U+vs,             U+tl,            <rho>,              <P>,              <T>,            <T>_f,               mu,       <u''u''>_f,       <v''v''>_f,       <w''w''>_f,       <u''v''>_f,       <rho'rho'>,           <P'P'>,       <T''T''>_f,       <T''v''>_f,
   +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +3.44921321e+00,  +1.53834909e-01,  +1.00000000e+00,  +1.00000000e+00,  +1.00000000e-04,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,  +0.00000000e+00,
   +8.92983400e-04,  +9.08578568e-01,  +7.93007614e-01,  +2.68047649e-02,  +2.64043595e-02,  +9.08684124e-01,  +8.86125971e-01,  +9.49053082e-01,  +8.28333780e-01,  +3.11520806e+00,  +1.55381844e-01,  +1.12018974e+00,  +1.11835285e+00,  +1.08885146e-04,  +1.15890946e-04,  +7.93305456e-08,  +1.02881343e-05,  -2.58546421e-07,  +2.86355775e-02,  +3.86525509e-05,  +2.38410385e-03,  -1.13827752e-06,
   +2.69631710e-03,  +2.74340590e+00,  +1.96596710e+00,  +7.26355494e-02,  +7.05470197e-02,  +2.46235216e+00,  +2.30772882e+00,  +2.74847401e+00,  +1.97865883e+00,  +2.66892077e+00,  +1.55378775e-01,  +1.31430382e+00,  +1.30533680e+00,  +1.22750040e-04,  +6.99565601e-04,  +6.14421213e-07,  +6.12288956e-05,  -2.92005315e-06,  +5.52379947e-02,  +3.82745199e-05,  +1.25485365e-02,  -1.09347674e-05,
   +4.52302160e-03,  +4.60201219e+00,  +2.84562667e+00,  +1.14089497e-01,  +1.10048676e-01,  +3.86764501e+00,  +3.50924267e+00,  +4.55451534e+00,  +2.83343994e+00,  +2.37809754e+00,  +1.55375515e-01,  +1.48149400e+00,  +1.46494054e+00,  +1.34284118e-04,  +1.56785249e-03,  +1.54469889e-06,  +1.33481528e-04,  -9.67857667e-06,  +6.78100474e-02,  +3.78344048e-05,  +2.55226192e-02,  -3.35978853e-05,
   +6.37335610e-03,  +6.48466115e+00,  +3.56650508e+00,  +1.52378885e-01,  +1.46441913e-01,  +5.16565895e+00,  +4.56284947e+00,  +6.36188360e+00,  +3.52549288e+00,  +2.16944950e+00,  +1.55370170e-01,  +1.62909348e+00,  +1.60577763e+00,  +1.44197985e-04,  +2.61632999e-03,  +2.94731960e-06,  +2.15893423e-04,  -2.20407055e-05,  +7.14987831e-02,  +3.72423195e-05,  +3.90591061e-02,  -7.30029764e-05,
   +8.24758160e-03,  +8.39161834e+00,  +4.19005958e+00,  +1.88233307e-01,  +1.80540939e-01,  +6.38112735e+00,  +5.50883069e+00,  +8.16750121e+00,  +4.11591043e+00,  +2.01062993e+00,  +1.55365196e-01,  +1.76160772e+00,  +1.73256268e+00,  +1.52908482e-04,  +3.79046105e-03,  +4.99054474e-06,  +3.03506373e-04,  -4.08686121e-05,  +7.08459295e-02,  +3.66942369e-05,  +5.22308814e-02,  -1.30890530e-04,
   +1.01459605e-02,  +1.03231508e+01,  +4.74953208e+00,  +2.22091618e-01,  +2.12804513e-01,  +7.52892737e+00,  +6.37124473e+00,  +9.96714202e+00,  +4.63718025e+00,  +1.88486313e+00,  +1.55358041e-01,  +1.88186678e+00,  +1.84808195e+00,  +1.60672419e-04,  +5.05278042e-03,  +7.80477762e-06,  +3.93826547e-04,  -6.65376631e-05,  +6.81710097e-02,  +3.60757966e-05,  +6.45745760e-02,  -2.07291539e-04,
   +1.20687570e-02,  +1.22795272e+01,  +5.26500513e+00,  +2.54235449e-01,  +2.43520269e-01,  +8.61860635e+00,  +7.16567501e+00,  +1.17560335e+01,  +5.10852376e+00,  +1.78245975e+00,  +1.55351235e-01,  +1.99179207e+00,  +1.95416919e+00,  +1.67661247e-04,  +6.37433880e-03,  +1.15431215e-05,  +4.85554701e-04,  -9.91872654e-05,  +6.46190834e-02,  +3.55360486e-05,  +7.58489178e-02,  -3.01469128e-04,
   +1.40162369e-02,  +1.42610181e+01,  +5.74945415e+00,  +2.84856656e-01,  +2.72873926e-01,  +9.65666821e+00,  +7.90288241e+00,  +1.35293458e+01,  +5.54207578e+00,  +1.69728989e+00,  +1.55342039e-01,  +2.09277684e+00,  +2.05210696e+00,  +1.73997059e-04,  +7.73027482e-03,  +1.63172281e-05,  +5.78032965e-04,  -1.38638959e-04,  +6.07660271e-02,  +3.49677074e-05,  +8.59281654e-02,  -4.11799305e-04,
   +1.59886673e-02,  +1.62678953e+01,  +6.21183125e+00,  +3.14092182e-01,  +3.00998585e-01,  +1.06477554e+01,  +8.59066377e+00,  +1.52824212e+01,  +5.94597788e+00,  +1.62531036e+00,  +1.55333130e-01,  +2.18588245e+00,  +2.14286401e+00,  +1.79771089e-04,  +9.09979362e-03,  +2.22613283e-05,  +6.70927700e-04,  -1.84601760e-04,  +5.68998923e-02,  +3.44881198e-05,  +9.47654111e-02,  -5.36458042e-04,
