# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      395.0       1.0         0.0         0.0         0.0         17.55
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif
1.303200E-03,5.147500E-01,5.147500E-01,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,5.089200E-01,5.089200E-01,5.089200E-01,5.089200E-01,5.089200E-01,1.022900E+00,1.022900E+00,5.086200E-01,5.086200E-01,5.086200E-01,4.024700E-02,8.234300E-06,1.395300E-02,-1.315800E-04,8.809600E-05,-5.643600E-06,1.760500E-03,4.024700E-02,8.234300E-06,1.395300E-02,8.809600E-05,-8.243300E+01,-1.527900E+00,7.668100E+01
3.967400E-03,1.567100E+00,1.567100E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,1.557600E+00,1.557600E+00,1.557600E+00,1.557600E+00,1.557600E+00,1.070100E+00,1.070100E+00,1.556700E+00,1.556700E+00,1.556700E+00,3.733800E-01,4.882800E-04,1.031200E-01,-3.947000E-03,8.237200E-04,-1.766500E-04,1.657200E-02,3.733800E-01,4.882800E-04,1.031200E-01,8.237200E-04,-7.300900E+01,2.724300E+00,6.325800E+01
6.746900E-03,2.665000E+00,2.665000E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,2.638900E+00,2.638900E+00,2.638900E+00,2.638900E+00,2.638900E+00,1.118800E+00,1.118800E+00,2.637500E+00,2.637500E+00,2.637500E+00,1.052900E+00,3.011900E-03,2.359800E-01,-1.928200E-02,2.324300E-03,-8.640100E-04,4.706600E-02,1.052900E+00,3.011900E-03,2.359800E-01,2.324300E-03,-6.833100E+01,8.591800E+00,4.529600E+01
9.640900E-03,3.808200E+00,3.808200E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,3.734000E+00,3.734000E+00,3.734000E+00,3.734000E+00,3.734000E+00,1.168100E+00,1.168100E+00,3.732100E+00,3.732100E+00,3.732100E+00,2.029200E+00,9.351500E-03,3.828500E-01,-5.271900E-02,4.468300E-03,-2.376300E-03,9.095600E-02,2.029200E+00,9.351500E-03,3.828500E-01,4.468300E-03,-6.223500E+01,1.636400E+01,1.963700E+01
1.264800E-02,4.996100E+00,4.996100E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,4.816900E+00,4.816900E+00,4.816900E+00,4.816900E+00,4.816900E+00,1.216800E+00,1.216800E+00,4.813900E+00,4.813900E+00,4.813900E+00,3.175500E+00,2.082800E-02,5.278800E-01,-1.060300E-01,6.975100E-03,-4.804600E-03,1.423800E-01,3.175500E+00,2.082800E-02,5.278800E-01,6.975100E-03,-5.695900E+01,1.875300E+01,-4.063900E+00
1.576900E-02,6.228600E+00,6.228600E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,5.860100E+00,5.860100E+00,5.860100E+00,5.860100E+00,5.860100E+00,1.263700E+00,1.263700E+00,5.854900E+00,5.854900E+00,5.854900E+00,4.332100E+00,3.818500E-02,6.645000E-01,-1.757300E-01,9.506700E-03,-7.992700E-03,1.940600E-01,4.332100E+00,3.818500E-02,6.645000E-01,9.506700E-03,-5.375200E+01,1.358400E+01,-2.057900E+01
1.900100E-02,7.505300E+00,7.505300E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,6.840600E+00,6.840600E+00,6.840600E+00,6.840600E+00,6.840600E+00,1.307600E+00,1.307600E+00,6.831500E+00,6.831500E+00,6.831500E+00,5.364800E+00,6.167100E-02,7.911500E-01,-2.552500E-01,1.178600E-02,-1.163300E-02,2.399300E-01,5.364800E+00,6.167100E-02,7.911500E-01,1.178600E-02,-5.248700E+01,3.103700E+00,-2.747600E+01
2.234400E-02,8.825700E+00,8.825700E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,7.742900E+00,7.742900E+00,7.742900E+00,7.742900E+00,7.742900E+00,1.348000E+00,1.348000E+00,7.727900E+00,7.727900E+00,7.727900E+00,6.195000E+00,9.116100E-02,9.082000E-01,-3.375300E-01,1.365100E-02,-1.539300E-02,2.764700E-01,6.195000E+00,9.116100E-02,9.082000E-01,1.365100E-02,-5.228400E+01,-8.425100E+00,-2.749900E+01
2.579600E-02,1.019000E+01,1.019000E+01,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,8.559500E+00,8.559500E+00,8.559500E+00,8.559500E+00,8.559500E+00,1.384400E+00,1.384400E+00,8.537000E+00,8.537000E+00,8.537000E+00,6.798300E+00,1.262500E-01,1.016200E+00,-4.168300E-01,1.504900E-02,-1.900400E-02,3.026500E-01,6.798300E+00,1.262500E-01,1.016200E+00,1.504900E-02,-5.220500E+01,-1.774400E+01,-2.379100E+01
2.935800E-02,1.159700E+01,1.159700E+01,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,9.290000E+00,9.290000E+00,9.290000E+00,9.290000E+00,9.290000E+00,1.416900E+00,1.416900E+00,9.258700E+00,9.258700E+00,9.258700E+00,7.187000E+00,1.663000E-01,1.115500E+00,-4.893800E-01,1.600400E-02,-2.229000E-02,3.190500E-01,7.187000E+00,1.663000E-01,1.115500E+00,1.600400E-02,-5.173600E+01,-2.348500E+01,-1.892700E+01
