# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      395.0       1.0         -1.0        -0.5        0.0         95.0
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif,epsSLS,prodSLS,transSLS,compSLS,densSLS
0.000000E+00,0.000000E+00,0.000000E+00,3.950000E+02,1.000000E+00,1.000000E+00,2.531600E-03,2.531600E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+00,1.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00, 0.000000E+00,0.000000E+00, 0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-9.628500E+01,-1.527900E+00,7.668100E+01,-8.252500E+01,4.315200E-02,7.484490E+01,-1.514100E-01,7.788358E+00
1.094400E-03,4.322900E-01,4.323600E-01,3.950600E+02,9.526200E-01,9.077600E-01,2.411700E-03,2.531600E-03,4.411100E-01,4.355600E-01,4.308200E-01,4.308800E-01,4.254600E-01,1.102900E+00,1.101600E+00,4.279400E-01,4.179500E-01,4.180200E-01,2.895400E-02,3.784700E-06,1.026400E-02,-1.089500E-04,1.308600E-03,-1.519900E-05,5.555300E-03,3.288000E-02,4.303100E-06,1.158600E-02,1.486200E-03,-9.628500E+01,-1.611100E+00,9.048900E+01,-8.252500E+01,4.315200E-02,7.484490E+01,-1.514100E-01,7.788358E+00
3.324700E-03,1.313300E+00,1.314500E+00,3.953600E+02,8.748000E-01,7.666900E-01,2.214700E-03,2.531600E-03,1.418200E+00,1.371900E+00,1.322400E+00,1.323200E+00,1.280500E+00,1.314200E+00,1.304300E+00,1.306400E+00,1.219600E+00,1.220300E+00,2.596200E-01,2.303000E-04,7.350100E-02,-2.873300E-03,9.889400E-03,-4.285800E-04,4.631500E-02,3.656200E-01,3.283400E-04,1.020600E-01,1.385200E-02,-1.002500E+02,2.463200E+00,9.164400E+01,-7.084800E+01,1.085100E+00,6.491270E+01,-9.772900E-01,5.827490E+00
5.637600E-03,2.226900E+00,2.231100E+00,3.957500E+02,8.127300E-01,6.630400E-01,2.057600E-03,2.531600E-03,2.516900E+00,2.396000E+00,2.249200E+00,2.251700E+00,2.146000E+00,1.532000E+00,1.508200E+00,2.212000E+00,1.983400E+00,1.985500E+00,7.214400E-01,1.412100E-03,1.668600E-01,-1.269400E-02,2.380700E-02,-1.863500E-03,1.209200E-01,1.211900E+00,2.412000E-03,2.755700E-01,3.951300E-02,-1.068500E+02,8.862300E+00,8.541500E+01,-6.482400E+01,4.682500E+00,5.445230E+01,-1.984100E+00,7.673300E+00
8.032600E-03,3.172900E+00,3.182000E+00,3.961300E+02,7.616700E-01,5.834800E-01,1.928300E-03,2.531600E-03,3.723900E+00,3.501200E+00,3.200700E+00,3.205800E+00,3.019600E+00,1.755000E+00,1.713900E+00,3.139100E+00,2.714200E+00,2.718400E+00,1.397000E+00,4.484800E-03,2.724000E-01,-3.313100E-02,4.112200E-02,-4.817600E-03,2.227700E-01,2.713300E+00,8.896500E-03,5.215500E-01,7.858500E-02,-1.089400E+02,2.142000E+01,6.545200E+01,-5.950900E+01,1.186500E+01,4.354760E+01,-3.287600E+00,7.384000E+00
1.050900E-02,4.151100E+00,4.166800E+00,3.964900E+02,7.188400E-01,5.206300E-01,1.819800E-03,2.531600E-03,5.018100E+00,4.674100E+00,4.161200E+00,4.169500E+00,3.893100E+00,1.981200E+00,1.920800E+00,4.079800E+00,3.412400E+00,3.418900E+00,2.239800E+00,1.028900E-02,3.812000E-01,-6.586700E-02,6.046100E-02,-9.563600E-03,3.440000E-01,4.902000E+00,2.309200E-02,8.290400E-01,1.301000E-01,-1.087800E+02,3.462000E+01,3.911800E+01,-5.582600E+01,2.267900E+01,3.211740E+01,-5.106000E+00,6.135600E+00
1.306700E-02,5.161400E+00,5.184900E+00,3.968000E+02,6.824300E-01,4.699700E-01,1.727700E-03,2.531600E-03,6.372200E+00,5.896500E+00,5.113400E+00,5.125200E+00,4.755700E+00,2.208500E+00,2.127800E+00,5.024900E+00,4.077000E+00,4.085900E+00,3.180700E+00,1.945300E-02,4.891000E-01,-1.104600E-01,8.072700E-02,-1.614700E-02,4.757500E-01,7.681600E+00,4.836200E-02,1.188100E+00,1.921500E-01,-1.080500E+02,4.366900E+01,1.140700E+01,-5.417500E+01,3.614700E+01,2.024310E+01,-7.004000E+00,4.788900E+00
1.570500E-02,6.203400E+00,6.235800E+00,3.970600E+02,6.512200E-01,4.285300E-01,1.648700E-03,2.531600E-03,7.755800E+00,7.146500E+00,6.040300E+00,6.055500E+00,5.596200E+00,2.434600E+00,2.333600E+00,5.964900E+00,4.706700E+00,4.717900E+00,4.144200E+00,3.239200E-02,5.943400E-01,-1.648800E-01,1.010300E-01,-2.442500E-02,6.092900E-01,1.086400E+01,8.775200E-02,1.590000E+00,2.622100E-01,-1.078700E+02,4.538400E+01,-1.089800E+01,-5.426700E+01,5.063500E+01,9.340300E+00,-8.793600E+00,3.085300E+00
1.842300E-02,7.277000E+00,7.319000E+00,3.972800E+02,6.242900E-01,3.942400E-01,1.580500E-03,2.531600E-03,9.138900E+00,8.401800E+00,6.927200E+00,6.945400E+00,6.403900E+00,2.657200E+00,2.536500E+00,6.890300E+00,5.300100E+00,5.313300E+00,5.063300E+00,4.929200E-02,6.961400E-01,-2.260900E-01,1.206600E-01,-3.410100E-02,7.371500E-01,1.422200E+01,1.436300E-01,2.026300E+00,3.375000E-01,-1.084900E+02,3.976300E+01,-2.601400E+01,-5.537400E+01,6.437900E+01,-4.247000E-01,-1.010700E+01,1.526700E+00
2.122000E-02,8.382000E+00,8.434000E+00,3.974500E+02,6.009300E-01,3.656100E-01,1.521400E-03,2.531600E-03,1.049500E+01,9.641100E+00,7.762800E+00,7.783500E+00,7.170000E+00,2.874200E+00,2.735100E+00,7.792700E+00,5.856400E+00,5.871200E+00,5.888000E+00,7.018200E-02,7.939200E-01,-2.908500E-01,1.390900E-01,-4.480900E-02,8.536700E-01,1.754300E+01,2.177200E-01,2.488200E+00,4.153300E-01,-1.094500E+02,2.888700E+01,-3.398500E+01,-5.665100E+01,7.593400E+01,-8.454900E+00,-1.075400E+01,-7.410000E-02
