# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      950.0       1.0         -1.0        0.7         0.0         75.0
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif,epsSLS,prodSLS,transSLS,compSLS,densSLS
8.773700E-04,8.335000E-01,7.729900E-01,8.810300E+02,1.045100E+00,9.394300E-01,1.100100E-03,1.052600E-03,8.054000E-01,7.977100E-01,7.931100E-01,7.641900E-01,7.568900E-01,1.065200E+00,1.064500E+00,8.254500E-01,8.128500E-01,7.832100E-01,9.259400E-02,9.712100E-07,7.946700E-03,-6.001000E-05,6.854300E-04,-6.290200E-06,7.690500E-03,1.005700E-01,1.071700E-06,8.637300E-03,7.469100E-04,-1.486800E+02,-4.707000E-01,1.522300E+02,-1.310800E+02,5.173000E-02,8.714800E-01,8.714800E-01,1.292853E+02
2.664400E-03,2.531100E+00,2.041800E+00,7.663300E+02,1.134800E+00,8.379700E-01,1.194500E-03,1.052600E-03,2.343500E+00,2.287300E+00,2.240900E+00,2.013700E+00,1.967000E+00,1.198900E+00,1.193400E+00,2.518800E+00,2.406800E+00,2.158900E+00,6.233800E-01,4.957700E-05,5.175900E-02,-1.411000E-03,5.487900E-03,-1.566000E-04,5.627800E-02,7.783000E-01,6.442400E-05,6.488300E-02,6.937700E-03,-1.257000E+02,1.637100E+00,1.210000E+02,-9.623800E+01,1.010900E+00,1.377900E+00,1.377900E+00,9.247130E+01
4.515600E-03,4.289900E+00,3.047800E+00,6.749500E+02,1.223800E+00,7.559600E-01,1.288200E-03,1.052600E-03,3.798600E+00,3.668000E+00,3.537800E+00,2.992900E+00,2.896200E+00,1.336600E+00,1.322800E+00,4.263200E+00,3.961500E+00,3.332700E+00,1.347600E+00,2.831900E-04,1.086300E-01,-5.501500E-03,1.374800E-02,-6.464900E-04,1.306200E-01,1.888800E+00,4.191300E-04,1.537600E-01,1.969600E-02,-1.051500E+02,4.111300E+00,9.534000E+01,-6.702700E+01,3.380100E+00,1.692500E+00,1.692500E+00,6.026190E+01
6.430900E-03,6.109300E+00,3.863500E+00,6.007800E+02,1.311800E+00,6.882200E-01,1.380900E-03,1.052600E-03,5.181800E+00,4.964000E+00,4.711500E+00,3.777500E+00,3.631300E+00,1.477500E+00,1.453000E+00,6.048000E+00,5.476100E+00,4.345200E+00,2.113600E+00,8.462500E-04,1.661900E-01,-1.297900E-02,2.445100E-02,-1.594600E-03,2.177400E-01,3.269800E+00,1.393800E-03,2.616900E-01,3.896600E-02,-9.090000E+01,7.201500E+00,7.435900E+01,-5.037000E+01,6.940600E+00,1.716300E+00,1.716300E+00,3.999680E+01
8.409700E-03,7.989200E+00,4.539200E+00,5.397600E+02,1.398600E+00,6.314100E-01,1.472200E-03,1.052600E-03,6.500100E+00,6.190100E+00,5.781000E+00,4.418500E+00,4.227500E+00,1.620500E+00,1.583800E+00,7.860000E+00,6.946000E+00,5.226200E+00,2.856100E+00,1.851800E-03,2.201000E-01,-2.397900E-02,3.676700E-02,-3.047000E-03,3.100000E-01,4.812800E+00,3.334500E-03,3.811200E-01,6.418900E-02,-7.993700E+01,9.701700E+00,5.535700E+01,-3.931300E+01,1.129000E+01,1.707000E+00,1.707000E+00,2.460900E+01
1.045200E-02,9.929200E+00,5.111400E+00,4.890500E+02,1.483500E+00,5.832500E-01,1.561600E-03,1.052600E-03,7.758700E+00,7.356000E+00,6.760600E+00,4.952600E+00,4.722300E+00,1.764500E+00,1.714500E+00,9.684300E+00,8.365900E+00,6.000400E+00,3.548000E+00,3.379700E-03,2.692400E-01,-3.837000E-02,4.999000E-02,-4.997400E-03,4.026300E-01,6.443300E+00,6.563000E-03,5.078000E-01,9.438700E-02,-7.194300E+01,1.136500E+01,4.020300E+01,-3.267900E+01,1.604600E+01,1.662300E+00,1.662300E+00,1.330840E+01
1.255700E-02,1.192900E+01,5.607100E+00,4.465400E+02,1.566300E+00,5.420700E-01,1.648800E-03,1.052600E-03,8.961300E+00,8.468700E+00,7.661600E+00,5.406700E+00,5.142300E+00,1.908300E+00,1.844800E+00,1.150500E+01,9.730300E+00,6.687900E+00,4.180300E+00,5.486700E-03,3.137800E-01,-5.587100E-02,6.352000E-02,-7.404000E-03,4.925700E-01,8.109100E+00,1.137000E-02,6.392100E-01,1.283200E-01,-6.599300E+01,1.202700E+01,2.720700E+01,-2.867500E+01,2.090200E+01,1.624900E+00,1.624900E+00,4.523200E+00
1.472400E-02,1.398800E+01,6.046900E+00,4.106800E+02,1.646500E+00,5.066400E-01,1.733200E-03,1.052600E-03,1.011100E+01,9.533200E+00,8.493100E+00,5.800600E+00,5.507100E+00,2.050600E+00,1.973800E+00,1.330800E+01,1.103400E+01,7.305800E+00,4.752400E+00,8.210300E-03,3.543100E-01,-7.610900E-02,7.686300E-02,-1.020000E-02,5.778200E-01,9.773300E+00,1.800400E-02,7.738700E-01,1.646100E-01,-6.160500E+01,1.175600E+01,1.674400E+01,-2.640600E+01,2.561900E+01,1.591200E+00,1.591200E+00,-2.395400E+00
1.695400E-02,1.610600E+01,6.446300E+00,3.802400E+02,1.723800E+00,4.760000E-01,1.814500E-03,1.052600E-03,1.121000E+01,1.055300E+01,9.262800E+00,6.149700E+00,5.831000E+00,2.190500E+00,2.100800E+00,1.507900E+01,1.227400E+01,7.868000E+00,5.267200E+00,1.157800E-02,3.915200E-01,-9.868200E-02,8.962300E-02,-1.330600E-02,6.571100E-01,1.141000E+01,2.668300E-02,9.107800E-01,2.019100E-01,-5.834800E+01,1.069200E+01,8.115900E+00,-2.519400E+01,3.003600E+01,1.564800E+00,1.564800E+00,-7.971600E+00
1.924500E-02,1.828300E+01,6.817600E+00,3.542600E+02,1.797700E+00,4.493900E-01,1.892300E-03,1.052600E-03,1.226200E+01,1.153200E+01,9.977100E+00,6.465100E+00,6.124600E+00,2.326700E+00,2.225200E+00,1.680600E+01,1.344700E+01,8.386000E+00,5.729100E+00,1.560700E-02,4.260600E-01,-1.231700E-01,1.015000E-01,-1.663800E-02,7.296300E-01,1.300000E+01,3.759300E-02,1.049300E+00,2.389800E-01,-5.592700E+01,8.996200E+00,1.183500E+00,-2.462500E+01,3.404600E+01,1.542100E+00,1.542100E+00,-1.250520E+01
2.159800E-02,2.051800E+01,7.170000E+00,3.319800E+02,1.868100E+00,4.261900E-01,1.966500E-03,1.052600E-03,1.326700E+01,1.247200E+01,1.064100E+01,6.755300E+00,6.396000E+00,2.458700E+00,2.346400E+00,1.847700E+01,1.455200E+01,8.868500E+00,6.142800E+00,2.031000E-02,4.584900E-01,-1.491800E-01,1.122800E-01,-2.011100E-02,7.949400E-01,1.452900E+01,5.089200E-02,1.188800E+00,2.747400E-01,-5.411800E+01,6.837600E+00,-4.380900E+00,-2.442600E+01,3.759600E+01,1.521800E+00,1.521800E+00,-1.621360E+01
2.401100E-02,2.281100E+01,7.510700E+00,3.128000E+02,1.934900E+00,4.058900E-01,2.036800E-03,1.052600E-03,1.422800E+01,1.337500E+01,1.126100E+01,7.026700E+00,6.651000E+00,2.585600E+00,2.463700E+00,2.008400E+01,1.558700E+01,9.322300E+00,6.512300E+00,2.569400E-02,4.892300E-01,-1.763100E-01,1.218300E-01,-2.364700E-02,8.528300E-01,1.598900E+01,6.671300E-02,1.328800E+00,3.083300E-01,-5.275800E+01,4.365300E+00,-8.763900E+00,-2.442700E+01,4.066400E+01,1.501600E+00,1.501600E+00,-1.924020E+01
2.648600E-02,2.516100E+01,7.845300E+00,2.962100E+02,1.997900E+00,3.880700E-01,2.103100E-03,1.052600E-03,1.514700E+01,1.424400E+01,1.183900E+01,7.283700E+00,6.893900E+00,2.706900E+00,2.576800E+00,2.162100E+01,1.655400E+01,9.752200E+00,6.841500E+00,3.176300E-02,5.186400E-01,-2.042300E-01,1.300700E-01,-2.717600E-02,9.032900E-01,1.737100E+01,8.516900E-02,1.469000E+00,3.391100E-01,-5.172600E+01,1.712600E+00,-1.215700E+01,-2.452900E+01,4.322900E+01,1.480100E+00,1.480100E+00,-2.166020E+01
2.902000E-02,2.756900E+01,8.178200E+00,2.818100E+02,2.057200E+00,3.723900E-01,2.165500E-03,1.052600E-03,1.602500E+01,1.507900E+01,1.238000E+01,7.529700E+00,7.127800E+00,2.822300E+00,2.685300E+00,2.308300E+01,1.745500E+01,1.016200E+01,7.133400E+00,3.851500E-02,5.469700E-01,-2.326000E-01,1.369900E-01,-3.063600E-02,9.464500E-01,1.867100E+01,1.063500E-01,1.608900E+00,3.666500E-01,-5.093200E+01,-1.010100E+00,-1.470500E+01,-2.466400E+01,4.530100E+01,1.456000E+00,1.456000E+00,-2.354900E+01
3.161500E-02,3.003400E+01,8.512600E+00,2.692600E+02,2.112700E+00,3.585500E-01,2.223900E-03,1.052600E-03,1.686500E+01,1.588200E+01,1.288700E+01,7.767000E+00,7.354900E+00,2.931600E+00,2.789000E+00,2.446700E+01,1.829000E+01,1.055300E+01,7.390700E+00,4.594900E-02,5.744200E-01,-2.611400E-01,1.426000E-01,-3.397800E-02,9.825400E-01,1.988400E+01,1.303300E-01,1.748100E+00,3.907100E-01,-5.030800E+01,-3.709400E+00,-1.654000E+01,-2.479100E+01,4.692700E+01,1.427800E+00,1.427800E+00,-2.499160E+01
3.426900E-02,3.255600E+01,8.851100E+00,2.582800E+02,2.164500E+00,3.463000E-01,2.278400E-03,1.052600E-03,1.766700E+01,1.665500E+01,1.336200E+01,7.997100E+00,7.576600E+00,3.034600E+00,2.887600E+00,2.577200E+01,1.906400E+01,1.092700E+01,7.615600E+00,5.405600E-02,6.011200E-01,-2.896000E-01,1.469600E-01,-3.716400E-02,1.011900E+00,2.100800E+01,1.571600E-01,1.886300E+00,4.111800E-01,-4.980100E+01,-6.309700E+00,-1.777300E+01,-2.489000E+01,4.810300E+01,1.394500E+00,1.394500E+00,-2.600200E+01
3.698300E-02,3.513400E+01,9.195700E+00,2.486500E+02,2.212800E+00,3.354300E-01,2.329300E-03,1.052600E-03,1.843300E+01,1.739800E+01,1.380900E+01,8.221100E+00,7.793900E+00,3.131400E+00,2.981300E+00,2.699800E+01,1.977900E+01,1.128600E+01,7.810000E+00,6.282600E-02,6.271500E-01,-3.177600E-01,1.501500E-01,-4.016600E-02,1.034900E+00,2.204200E+01,1.868800E-01,2.023100E+00,4.281100E-01,-4.936900E+01,-8.750500E+00,-1.850400E+01,-2.494500E+01,4.891400E+01,1.355500E+00,1.355500E+00,-2.668000E+01
3.975500E-02,3.776700E+01,9.547700E+00,2.401600E+02,2.257700E+00,3.257500E-01,2.376500E-03,1.052600E-03,1.916500E+01,1.811300E+01,1.423000E+01,8.439600E+00,8.007300E+00,3.222100E+00,3.069800E+00,2.814700E+01,2.043900E+01,1.162900E+01,7.975600E+00,7.224400E-02,6.525800E-01,-3.454100E-01,1.522600E-01,-4.296500E-02,1.052000E+00,2.298500E+01,2.194900E-01,2.158000E+00,4.416400E-01,-4.898000E+01,-1.098600E+01,-1.881800E+01,-2.495500E+01,4.931700E+01,1.311300E+00,1.311300E+00,-2.698460E+01
4.258600E-02,4.045700E+01,9.908200E+00,2.326600E+02,2.299300E+00,3.171200E-01,2.420400E-03,1.052600E-03,1.986400E+01,1.880000E+01,1.462500E+01,8.652900E+00,8.217100E+00,3.306800E+00,3.153400E+00,2.922000E+01,2.104700E+01,1.195600E+01,8.113800E+00,8.229300E-02,6.774400E-01,-3.724100E-01,1.534000E-01,-4.555100E-02,1.063600E+00,2.383700E+01,2.550000E-01,2.291000E+00,4.519600E-01,-4.861200E+01,-1.298200E+01,-1.878800E+01,-2.491000E+01,4.945500E+01,1.262100E+00,1.262100E+00,-2.706920E+01
4.547500E-02,4.320100E+01,1.027800E+01,2.260100E+02,2.338000E+00,3.093800E-01,2.461000E-03,1.052600E-03,2.053100E+01,1.946100E+01,1.499800E+01,8.861200E+00,8.423300E+00,3.385900E+00,3.232200E+00,3.022200E+01,2.160700E+01,1.226900E+01,8.226000E+00,9.295200E-02,7.017500E-01,-3.986200E-01,1.536700E-01,-4.792000E-02,1.070200E+00,2.459900E+01,2.933800E-01,2.421600E+00,4.593100E-01,-4.824600E+01,-1.471400E+01,-1.848000E+01,-2.481900E+01,4.926000E+01,1.208600E+00,1.208600E+00,-2.685820E+01
4.842200E-02,4.600100E+01,1.065700E+01,2.200900E+02,2.373800E+00,3.024500E-01,2.498700E-03,1.052600E-03,2.116800E+01,2.009600E+01,1.535000E+01,9.064400E+00,8.625900E+00,3.459500E+00,3.306400E+00,3.115500E+01,2.212200E+01,1.256600E+01,8.313400E+00,1.041900E-01,7.255200E-01,-4.239200E-01,1.531800E-01,-5.007500E-02,1.072300E+00,2.527100E+01,3.345800E-01,2.549700E+00,4.639700E-01,-4.786800E+01,-1.616900E+01,-1.794900E+01,-2.467900E+01,4.879600E+01,1.150400E+00,1.150400E+00,-2.641780E+01
5.142600E-02,4.885400E+01,1.104700E+01,2.148100E+02,2.406900E+00,2.962000E-01,2.533600E-03,1.052600E-03,2.177600E+01,2.070600E+01,1.568200E+01,9.262600E+00,8.824700E+00,3.528100E+00,3.376100E+00,3.202300E+01,2.259600E+01,1.284900E+01,8.377500E+00,1.159900E-01,7.487400E-01,-4.482300E-01,1.520200E-01,-5.202100E-02,1.070300E+00,2.585800E+01,3.785400E-01,2.674900E+00,4.662100E-01,-4.746700E+01,-1.734300E+01,-1.724900E+01,-2.449400E+01,4.815500E+01,1.088000E+00,1.088000E+00,-2.583700E+01
5.448700E-02,5.176300E+01,1.144700E+01,2.100800E+02,2.437600E+00,2.905700E-01,2.565900E-03,1.052600E-03,2.235600E+01,2.129200E+01,1.599600E+01,9.455600E+00,9.019500E+00,3.591800E+00,3.441500E+00,3.283000E+01,2.303300E+01,1.311800E+01,8.419400E+00,1.283100E-01,7.713900E-01,-4.714800E-01,1.503100E-01,-5.376800E-02,1.064700E+00,2.636000E+01,4.251700E-01,2.797200E+00,4.663300E-01,-4.703600E+01,-1.824200E+01,-1.642200E+01,-2.426800E+01,4.724300E+01,1.022700E+00,1.022700E+00,-2.502040E+01
5.760500E-02,5.472500E+01,1.185700E+01,2.058300E+02,2.466100E+00,2.854700E-01,2.595800E-03,1.052600E-03,2.291000E+01,2.185400E+01,1.629300E+01,9.643300E+00,9.210200E+00,3.651100E+00,3.503000E+00,3.358100E+01,2.343600E+01,1.337300E+01,8.440600E+00,1.411200E-01,7.934700E-01,-4.936300E-01,1.481300E-01,-5.532700E-02,1.055900E+00,2.678100E+01,4.743700E-01,2.916300E+00,4.645900E-01,-4.657000E+01,-1.887600E+01,-1.550900E+01,-2.400300E+01,4.627100E+01,9.549300E-01,9.549300E-01,-2.417786E+01
