# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      150.0       1.0         0.0         -1.0        0.0         62.0
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif
0.000000E+00,0.000000E+00,0.000000E+00,1.500000E+02,1.000000E+00,1.000000E+00,6.666666E-03,6.666700E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+00,1.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00, 0.000000E+00,0.000000E+00, 0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-5.381200E+01,-3.916800E-01,4.893900E+01
1.018500E-03,1.527800E-01,1.623700E-01,1.594100E+02,9.409500E-01,1.000000E+00,6.273000E-03,6.666700E-03,1.590000E-01,1.590000E-01,1.590000E-01,1.637000E-01,1.637000E-01,1.063300E+00,1.063300E+00,1.510800E-01,1.510800E-01,1.555500E-01,4.692500E-03,1.833800E-06,3.815100E-03,-1.656500E-05,6.179100E-04,-5.553500E-06,1.028400E-03,4.692500E-03,1.833800E-06,3.815100E-03,6.179100E-04,-5.381200E+01,-3.916800E-01,4.893900E+01
3.098600E-03,4.647800E-01,5.527600E-01,1.783900E+02,8.408500E-01,1.000000E+00,5.605700E-03,6.666700E-03,5.203900E-01,5.203900E-01,5.203900E-01,5.648600E-01,5.648600E-01,1.193800E+00,1.193800E+00,4.624000E-01,4.624000E-01,5.011200E-01,5.231200E-02,1.554700E-04,3.545900E-02,-6.201000E-04,5.806500E-03,-1.980500E-04,1.179900E-02,5.231200E-02,1.554700E-04,3.545900E-02,5.806500E-03,-5.496800E+01,3.718400E-01,4.776000E+01
5.264200E-03,7.896200E-01,1.040600E+00,1.976700E+02,7.588400E-01,1.000000E+00,5.059000E-03,6.666700E-03,9.440900E-01,9.440900E-01,9.440900E-01,1.072000E+00,1.072000E+00,1.329200E+00,1.329200E+00,7.854500E-01,7.854500E-01,8.878000E-01,1.822400E-01,1.165400E-03,9.992400E-02,-3.909500E-03,1.677100E-02,-1.107000E-03,4.082700E-02,1.822400E-01,1.165400E-03,9.992400E-02,1.677100E-02,-5.901800E+01,1.955600E+00,4.612800E+01
7.514800E-03,1.127200E+00,1.632800E+00,2.172800E+02,6.903400E-01,1.000000E+00,4.602300E-03,6.666700E-03,1.433300E+00,1.433300E+00,1.433300E+00,1.692100E+00,1.692100E+00,1.469000E+00,1.469000E+00,1.119100E+00,1.119100E+00,1.310800E+00,4.441600E-01,4.272300E-03,1.942800E-01,-1.368400E-02,3.390000E-02,-3.523000E-03,9.654800E-02,4.441600E-01,4.272300E-03,1.942800E-01,3.390000E-02,-6.269900E+01,7.183800E+00,4.079100E+01
9.849800E-03,1.477500E+00,2.336500E+00,2.372100E+02,6.323500E-01,1.000000E+00,4.215700E-03,6.666700E-03,1.986900E+00,1.986900E+00,1.986900E+00,2.425800E+00,2.425800E+00,1.612500E+00,1.612500E+00,1.461600E+00,1.461600E+00,1.764600E+00,8.855300E-01,1.092400E-02,3.117900E-01,-3.469100E-02,5.710900E-02,-8.318400E-03,1.850900E-01,8.855300E-01,1.092400E-02,3.117900E-01,5.710900E-02,-6.416900E+01,1.617400E+01,2.797900E+01
1.226900E-02,1.840300E+00,3.157500E+00,2.573600E+02,5.828400E-01,1.000000E+00,3.885600E-03,6.666700E-03,2.597100E+00,2.597100E+00,2.597100E+00,3.263000E+00,3.263000E+00,1.758600E+00,1.758600E+00,1.810000E+00,1.810000E+00,2.242700E+00,1.522100E+00,2.246500E-02,4.436800E-01,-7.080500E-02,8.568700E-02,-1.619600E-02,3.066900E-01,1.522100E+00,2.246500E-02,4.436800E-01,8.568700E-02,-6.297000E+01,2.584900E+01,8.562800E+00
1.477100E-02,2.215700E+00,4.100600E+00,2.776100E+02,5.403300E-01,1.000000E+00,3.602200E-03,6.666700E-03,3.249300E+00,3.249300E+00,3.249300E+00,4.181700E+00,4.181700E+00,1.905600E+00,1.905600E+00,2.160900E+00,2.160900E+00,2.737000E+00,2.318300E+00,3.989500E-02,5.809900E-01,-1.232300E-01,1.183400E-01,-2.747400E-02,4.542900E-01,2.318300E+00,3.989500E-02,5.809900E-01,1.183400E-01,-6.026500E+01,3.112800E+01,-1.169300E+01
1.735600E-02,2.603400E+00,5.168800E+00,2.978100E+02,5.036800E-01,1.000000E+00,3.357900E-03,6.666700E-03,3.924000E+00,3.924000E+00,3.924000E+00,5.150300E+00,5.150300E+00,2.052100E+00,2.052100E+00,2.510500E+00,2.510500E+00,3.238900E+00,3.193900E+00,6.376000E-02,7.163600E-01,-1.898400E-01,1.534300E-01,-4.200600E-02,6.153800E-01,3.193900E+00,6.376000E-02,7.163600E-01,1.534300E-01,-5.783400E+01,2.879000E+01,-2.670700E+01
2.002400E-02,3.003500E+00,6.363200E+00,3.177900E+02,4.720200E-01,1.000000E+00,3.146800E-03,6.666700E-03,4.599900E+00,4.599900E+00,4.599900E+00,6.133500E+00,6.133500E+00,2.196500E+00,2.196500E+00,2.855000E+00,2.855000E+00,3.739900E+00,4.052400E+00,9.412500E-02,8.452900E-01,-2.659300E-01,1.892800E-01,-5.924100E-02,7.758900E-01,4.052400E+00,9.412500E-02,8.452900E-01,1.892800E-01,-5.665500E+01,1.936200E+01,-3.347300E+01
