y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0000000000,0.0000000000,0.0000000000,0.0000000000,9.7999140399,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0006942759,0.1110846740,0.0000000035,0.0005101644,9.9770222580,0.0666666667,0.0092579736,0.9976688825,0.0000000039,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0014238152,0.2277190404,0.0000000227,0.0016062789,10.1673026562,0.0666666667,0.0092566226,0.9952193436,0.0000000252,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0021903814,0.3501703445,0.0000000730,0.0033887253,10.3733607273,0.0666666667,0.0092552030,0.9926454726,0.0000000811,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0029958230,0.4787172600,0.0000001747,0.0059725599,10.5973972075,0.0666666667,0.0092537114,0.9899410840,0.0000001941,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0038420777,0.6136501011,0.0000003534,0.0094896783,10.8415433130,0.0666666667,0.0092521443,0.9870997093,0.0000003927,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0047311763,0.7552709667,0.0000006417,0.0140912845,11.1079791636,0.0666666667,0.0092504978,0.9841145909,0.0000007130,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0056652468,0.9038937951,0.0000010805,0.0199507047,11.3989891697,0.0666666667,0.0092487681,0.9809786767,0.0000012005,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0066465183,1.0598442978,0.0000017212,0.0272665846,11.7169927373,0.0666666667,0.0092469509,0.9776846180,0.0000019124,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0076773260,1.2234597357,0.0000026281,0.0362665079,12.0645624322,0.0666666667,0.0092450420,0.9742247698,0.0000029202,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0087601150,1.3950884863,0.0000038818,0.0472110659,12.4444335710,0.0666666667,0.0092430368,0.9705911966,0.0000043132,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0098974457,1.5750893409,0.0000055827,0.0603983983,12.8595058931,0.0666666667,0.0092409307,0.9667756829,0.0000062030,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0110919979,1.7638304461,0.0000078559,0.0761692038,13.3128361611,0.0666666667,0.0092387185,0.9627697524,0.0000087288,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0123465764,1.9616877854,0.0000108578,0.0949121890,13.8076192083,0.0666666667,0.0092363952,0.9585646974,0.0000120643,0.0010000000,0.1000000000,1.0000000000,0.0000000000
