y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0006942759,0.0072430955,0.0000000000,0.1000000000,0.0010000000,0.0666666667,0.0000188966,0.9974622076,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0014238152,0.0148482842,0.0000000000,0.1000000000,0.0010000000,0.0666666667,0.0000387608,0.9947954886,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0021903814,0.0228330576,0.0000000002,0.1000000000,0.0010000000,0.0666666667,0.0000596312,0.9919933954,0.0000000001,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0029958230,0.0312156821,0.0000000009,0.1000000000,0.0010000000,0.0666666667,0.0000815483,0.9890491695,0.0000000005,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0038420777,0.0400152208,0.0000000023,0.1000000000,0.0010000000,0.0666666667,0.0001045543,0.9859557294,0.0000000014,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0047311763,0.0492515510,0.0000000054,0.1000000000,0.0010000000,0.0666666667,0.0001286938,0.9827056581,0.0000000032,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0056652468,0.0589453769,0.0000000111,0.1000000000,0.0010000000,0.0666666667,0.0001540129,0.9792911914,0.0000000065,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0066465183,0.0691182339,0.0000000211,0.1000000000,0.0010000000,0.0666666667,0.0001805598,0.9757042076,0.0000000124,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0076773260,0.0797924815,0.0000000377,0.1000000000,0.0010000000,0.0666666667,0.0002083843,0.9719362187,0.0000000222,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0087601150,0.0909912811,0.0000000640,0.1000000000,0.0010000000,0.0666666667,0.0002375380,0.9679783646,0.0000000376,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0098974457,0.1027385512,0.0000001045,0.1000000000,0.0010000000,0.0666666667,0.0002680741,0.9638214112,0.0000000615,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0110919979,0.1150588934,0.0000001651,0.1000000000,0.0010000000,0.0666666667,0.0003000472,0.9594557545,0.0000000971,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0123465764,0.1279774784,0.0000002538,0.1000000000,0.0010000000,0.0666666667,0.0003335132,0.9548714320,0.0000001493,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0136641154,0.1415198784,0.0000003812,0.1000000000,0.0010000000,0.0666666667,0.0003685292,0.9500581458,0.0000002243,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0150476841,0.1557118291,0.0000005611,0.1000000000,0.0010000000,0.0666666667,0.0004051531,0.9450052996,0.0000003303,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0165004920,0.1705788998,0.0000008117,0.1000000000,0.0010000000,0.0666666667,0.0004434433,0.9397020560,0.0000004780,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0180258942,0.1861460441,0.0000011563,0.1000000000,0.0010000000,0.0666666667,0.0004834587,0.9341374196,0.0000006812,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0196273970,0.2024369997,0.0000016247,0.1000000000,0.0010000000,0.0666666667,0.0005252580,0.9283003548,0.0000009579,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0213086633,0.2194734991,0.0000022553,0.1000000000,0.0010000000,0.0666666667,0.0005688991,0.9221799475,0.0000013309,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0230735186,0.2372742475,0.0000030963,0.1000000000,0.0010000000,0.0666666667,0.0006144389,0.9157656243,0.0000018294,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0249259567,0.2558536261,0.0000042082,0.1000000000,0.0010000000,0.0666666667,0.0006619326,0.9090474447,0.0000024904,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0268701452,0.2752200779,0.0000056668,0.1000000000,0.0010000000,0.0666666667,0.0007114326,0.9020164828,0.0000033606,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0289104319,0.2953741494,0.0000075656,0.1000000000,0.0010000000,0.0666666667,0.0007629881,0.8946653206,0.0000044988,0.0010000000,0.1000000000,1.0000000000,0.0000000000
