y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056105164,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0006942759,0.0064858997,0.0000000001,0.0000060848,0.0054699269,0.0000000003,0.0004443827,0.9975787113,0.0000000000,0.0010000000,0.1000000000,1.0000000000,0.0009809197
0.0014238152,0.0132957741,0.0000000005,0.0000188758,0.0053293052,0.0000000023,0.0004443179,0.9950344162,0.0000000003,0.0010000000,0.1000000000,1.0000000000,0.0020092091
0.0021903814,0.0204452266,0.0000000022,0.0000392043,0.0051891059,0.0000000094,0.0004442497,0.9923609670,0.0000000013,0.0010000000,0.1000000000,1.0000000000,0.0030870445
0.0029958230,0.0279505211,0.0000000065,0.0000679759,0.0050498280,0.0000000274,0.0004441781,0.9895519264,0.0000000038,0.0010000000,0.1000000000,1.0000000000,0.0042166850
0.0038420777,0.0358285792,0.0000000156,0.0001061758,0.0049120177,0.0000000652,0.0004441029,0.9866005596,0.0000000092,0.0010000000,0.1000000000,1.0000000000,0.0054004709
0.0047311763,0.0440969634,0.0000000328,0.0001548740,0.0047762722,0.0000001354,0.0004440239,0.9834998300,0.0000000193,0.0010000000,0.1000000000,1.0000000000,0.0066408220
0.0056652468,0.0527738454,0.0000000629,0.0002152304,0.0046432422,0.0000002556,0.0004439409,0.9802423975,0.0000000370,0.0010000000,0.1000000000,1.0000000000,0.0079402344
0.0066465183,0.0618779504,0.0000001120,0.0002885000,0.0045136357,0.0000004486,0.0004438536,0.9768206216,0.0000000659,0.0010000000,0.1000000000,1.0000000000,0.0093012760
0.0076773260,0.0714284745,0.0000001886,0.0003760363,0.0043882213,0.0000007441,0.0004437620,0.9732265706,0.0000001109,0.0010000000,0.1000000000,1.0000000000,0.0107265795
0.0087601150,0.0814449676,0.0000003033,0.0004792937,0.0042678298,0.0000011793,0.0004436658,0.9694520371,0.0000001785,0.0010000000,0.1000000000,1.0000000000,0.0122188343
0.0098974457,0.0919471746,0.0000004697,0.0005998277,0.0041533565,0.0000018003,0.0004435647,0.9654885641,0.0000002765,0.0010000000,0.1000000000,1.0000000000,0.0137807750
