y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056569504,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0008846068,0.0000000000,1.0000000000,0.0000000000
0.0006942759,0.0064776314,0.0000000001,0.0000061352,0.0055144943,0.0000000003,0.0004443827,0.9974614554,0.0000000000,0.0007564014,0.0000015990,1.0000000000,0.0009759760
0.0014238152,0.0132788165,0.0000000005,0.0000190315,0.0053719987,0.0000000023,0.0004443179,0.9947939726,0.0000000000,0.0006712425,0.0000050484,1.0000000000,0.0019990500
0.0021903814,0.0204191377,0.0000000022,0.0000395265,0.0052299226,0.0000000095,0.0004442497,0.9919911594,0.0000000000,0.0006089969,0.0000104079,1.0000000000,0.0030713836
0.0029958230,0.0279148365,0.0000000065,0.0000685325,0.0050887694,0.0000000277,0.0004441781,0.9890463656,0.0000000000,0.0005614366,0.0000177778,1.0000000000,0.0041952195
0.0038420777,0.0357828105,0.0000000157,0.0001070418,0.0049490903,0.0000000658,0.0004441029,0.9859526920,0.0000000000,0.0005243387,0.0000272903,1.0000000000,0.0053728815
0.0047311763,0.0440405974,0.0000000330,0.0001561319,0.0048114876,0.0000001366,0.0004440239,0.9827030060,0.0000000000,0.0004952452,0.0000391057,1.0000000000,0.0066067715
0.0056652468,0.0527063415,0.0000000632,0.0002169709,0.0046766174,0.0000002578,0.0004439409,0.9792899634,0.0000000000,0.0004726075,0.0000534117,1.0000000000,0.0078993672
0.0066465183,0.0617987387,0.0000001126,0.0002908222,0.0045451936,0.0000004524,0.0004438536,0.9757060376,0.0000000000,0.0004553960,0.0000704236,1.0000000000,0.0092532164
0.0076773260,0.0713369529,0.0000001896,0.0003790482,0.0044179906,0.0000007504,0.0004437620,0.9719435575,0.0000000000,0.0004428996,0.0000903847,1.0000000000,0.0106709314
0.0087601150,0.0813404984,0.0000003049,0.0004831128,0.0042958457,0.0000011893,0.0004436658,0.9679947554,0.0000000000,0.0004346122,0.0001135674,1.0000000000,0.0121551794
0.0098974457,0.0918290794,0.0000004723,0.0006045811,0.0041796608,0.0000018154,0.0004435647,0.9638518246,0.0000000000,0.0004301653,0.0001402739,1.0000000000,0.0137086720
0.0110919979,0.1028223823,0.0000007085,0.0007451160,0.0040704022,0.0000026852,0.0004434585,0.9595069892,0.0000000000,0.0004292836,0.0001708362,1.0000000000,0.0153341509
0.0123465764,0.1143398124,0.0000010339,0.0009064690,0.0039690980,0.0000038658,0.0004433470,0.9549525889,0.0000000000,0.0004317559,0.0002056155,1.0000000000,0.0170343707
0.0136641154,0.1264001745,0.0000014727,0.0010904659,0.0038768329,0.0000054368,0.0004432299,0.9501811789,0.0000000000,0.0004374142,0.0002450001,1.0000000000,0.0188120780
0.0150476841,0.1390212968,0.0000020528,0.0012989830,0.0037947374,0.0000074902,0.0004431069,0.9451856496,0.0000000000,0.0004461187,0.0002894021,1.0000000000,0.0206699867
0.0165004920,0.1522196048,0.0000028060,0.0015339141,0.0037239732,0.0000101315,0.0004429777,0.9399593692,0.0000000000,0.0004577479,0.0003392511,1.0000000000,0.0226107484
0.0180258942,0.1660096628,0.0000037671,0.0017971259,0.0036657106,0.0000134800,0.0004428421,0.9344963501,0.0000000000,0.0004721927,0.0003949855,1.0000000000,0.0246369188
0.0196273970,0.1804037037,0.0000049738,0.0020904019,0.0036210997,0.0000176685,0.0004426998,0.9287914399,0.0000000000,0.0004893563,0.0004570403,1.0000000000,0.0267509180
0.0213086633,0.1954111814,0.0000064651,0.0024153743,0.0035912332,0.0000228431,0.0004425503,0.9228405320,0.0000000000,0.0005091605,0.0005258305,1.0000000000,0.0289549863
0.0230735186,0.2110383820,0.0000082803,0.0027734471,0.0035771021,0.0000291617,0.0004423935,0.9166407838,0.0000000000,0.0005315568,0.0006017310,1.0000000000,0.0312511335
0.0249259567,0.2272881307,0.0000104576,0.0031657128,0.0035795457,0.0000367933,0.0004422288,0.9101908228,0.0000000000,0.0005565326,0.0006850534,1.0000000000,0.0336410822
0.0268701452,0.2441596271,0.0000130328,0.0035928697,0.0035991971,0.0000459153,0.0004420560,0.9034909172,0.0000000000,0.0005840968,0.0007760200,1.0000000000,0.0361262047
0.0289104319,0.2616484211,0.0000160380,0.0040551441,0.0036364287,0.0000567122,0.0004418746,0.8965430979,0.0000000000,0.0006142276,0.0008747396,1.0000000000,0.0387074514
0.0310513501,0.2797465301,0.0000195011,0.0045522257,0.0036913008,0.0000693723,0.0004416843,0.8893512315,0.0000000000,0.0006468016,0.0009811828,1.0000000000,0.0413852720
0.0332976245,0.2984426699,0.0000234458,0.0050832209,0.0037635179,0.0000840857,0.0004414847,0.8819210587,0.0000000000,0.0006815569,0.0010951617,1.0000000000,0.0441595263
0.0356541773,0.3177225615,0.0000278916,0.0056466293,0.0038523965,0.0001010415,0.0004412752,0.8742602117,0.0000000000,0.0007181159,0.0012163104,1.0000000000,0.0470293846
